pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,glat,glon
Kepler-1569 b,Kepler-1569,1,1,0,Transit,2016,Kepler,0.065400,1.680,3.46000,1.40,1.25,0.335,9.24991,70.17366
Kepler-157 b,Kepler-157,1,3,0,Transit,2014,Kepler,0.028000,1.320,2.30000,1.04,1.02,0.091,10.77283,71.27591
Kepler-157 c,Kepler-157,1,3,0,Transit,2014,Kepler,0.110000,2.240,5.65000,1.04,1.02,0.091,10.77283,71.27591
Kepler-157 d,Kepler-157,1,3,0,Transit,2016,Kepler,0.069800,1.460,2.73000,1.03,1.02,0.091,10.77283,71.27591
Kepler-1570 b,Kepler-1570,1,1,0,Transit,2016,Kepler,0.178400,1.070,1.24000,0.89,0.92,0.414,8.37838,80.58993
Kepler-1571 b,Kepler-1571,1,1,0,Transit,2016,Kepler,0.043200,1.520,2.92000,1.39,1.23,0.194,7.61693,80.78026
Kepler-1572 b,Kepler-1572,1,1,0,Transit,2016,Kepler,0.061400,0.940,0.77900,0.95,0.97,0.373,20.01227,76.08913
Kepler-1573 b,Kepler-1573,1,1,0,Transit,2016,Kepler,0.036400,1.200,1.87000,1.00,1.01,0.169,14.18038,81.66089
Kepler-1574 b,Kepler-1574,1,1,0,Transit,2016,Kepler,0.074300,1.290,2.21000,1.08,1.06,0.156,14.73259,81.56853
Kepler-1575 b,Kepler-1575,1,1,0,Transit,2016,Kepler,0.036600,1.310,2.27000,0.92,0.95,-0.037,12.09016,78.45373
Kepler-1576 b,Kepler-1576,1,1,0,Transit,2016,Kepler,0.072600,1.040,1.12000,1.06,1.05,-0.063,12.82190,71.96201
Kepler-1577 b,Kepler-1577,1,1,0,Transit,2016,Kepler,0.065700,1.130,1.51000,0.74,0.78,-0.607,13.37521,79.87524
Kepler-1578 b,Kepler-1578,1,1,0,Transit,2016,Kepler,0.025200,1.040,1.12000,0.86,0.90,-0.165,16.31601,78.73876
Kepler-1579 b,Kepler-1579,1,1,0,Transit,2016,Kepler,0.014000,0.840,0.52000,0.70,0.75,-0.940,11.36968,76.25532
