GJ 3473 c,Radial Velocity,2020,Multiple Observatories,0.087600,2.630,7.41000,17.28798,218.15071,176,234
GJ 3512 b,Radial Velocity,2019,Calar Alto Observatory,0.337000,14.300,146.20107,36.96199,157.24389,177,235
GJ 3512 c,Radial Velocity,2020,Multiple Observatories,1.292000,9.320,63.56568,36.96199,157.24389,177,236
GJ 357 b,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0.036000,1.200,1.84000,22.08045,253.88843,178,237
GJ 357 c,Radial Velocity,2019,Multiple Observatories,0.061000,1.660,3.40000,22.08045,253.88843,178,238
GJ 357 d,Radial Velocity,2019,Multiple Observatories,0.204000,2.340,6.10000,22.08045,253.88843,178,239
GJ 3634 b,Radial Velocity,2010,La Silla Observatory,0.028700,2.830,8.40000,25.80850,276.22112,179,240
GJ 367 b,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.007090,0.699,0.63300,5.65890,272.24323,180,241
GJ 367 c,Radial Velocity,2023,La Silla Observatory,,1.860,4.13000,5.65890,272.24323,180,242
GJ 367 d,Radial Velocity,2023,La Silla Observatory,,2.330,6.03000,5.65890,272.24323,180,243
GJ 3779 b,Radial Velocity,2018,Calar Alto Observatory,0.026000,2.750,8.00000,82.42850,14.08223,181,244
GJ 3929 b,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.025200,1.090,1.75000,49.59735,56.66419,182,245
GJ 3929 c,Radial Velocity,2022,Multiple Observatories,0.081000,2.260,5.71000,49.59735,56.66419,182,246
GJ 393 b,Radial Velocity,2021,Multiple Observatories,0.054020,1.170,1.71000,46.88333,244.47566,183,247
GJ 3942 b,Radial Velocity,2017,Roque de los Muchachos Observatory,0.060800,2.570,7.14000,45.46907,82.20459,184,248
GJ 3998 b,Radial Velocity,2016,Roque de los Muchachos Observatory,0.029000,1.380,2.47000,26.15047,32.27249,185,249
GJ 3998 c,Radial Velocity,2016,Roque de los Muchachos Observatory,0.089000,2.380,6.26000,26.15047,32.27249,185,250
